Curso,N,¿Envía el correo? (marcar con una x),Seguro que lo ha enviado por móvil,Otros (no móvil),¿Adjunta una lista de profesores/as?,¿Usa las negritas?,¿Usa la cursiva?,¿Usa los colores?,¿Usa los emoticonos?
1 BAC A,29,22,0,22,22,20,21,0,18
1 BAC B,30,25,0,25,23,24,24,0,19
1 BAC C,34,19,0,19,19,19,19,0,19
1 BAC D,35,28,5,23,28,26,25,21,20
1 CICLO,23,8,0,8,7,6,5,6,6
1 ESO A,30,20,1,19,14,12,14,13,13
1 ESO B,29,9,0,9,7,7,8,5,8
1 ESO C,28,24,0,24,17,13,12,6,14
1 ESO D,27,10,1,9,5,7,8,7,7
1 ESO E,27,13,1,12,5,7,5,5,10
2 BAC A,26,6,0,6,5,5,5,0,5
2 BAC B,25,13,0,13,13,12,12,12,10
2 BAC C,32,17,0,17,17,17,17,3,16
2 BAC D,31,13,0,13,13,12,12,2,13
2 CICLO,32,0,0,0,0,0,0,0,0
2 ESO A,32,0,0,0,0,0,0,0,0
2 ESO B,32,11,0,11,9,11,11,10,9
2 ESO C,30,13,2,11,12,10,11,9,11
2 ESO D,27,8,1,7,4,7,7,6,7
2 ESO E,28,0,0,0,0,0,0,0,0
3 ESO A,30,14,1,13,11,12,13,11,12
3 ESO B,31,25,0,25,21,23,22,21,24
3 ESO C,30,12,12,0,10,12,11,12,11
3 ESO D,30,12,12,0,11,10,9,11,11
3 ESO E,30,9,9,0,8,8,9,9,9
4 ESO A,26,16,8,8,14,15,15,1,14
4 ESO B,27,21,0,21,19,21,21,9,19
4 ESO C,27,14,0,14,12,13,13,2,13
4 ESO D,27,16,5,11,16,15,15,15,15
4 ESO E,30,27,19,8,24,15,15,14,24
Total,846,403,77,326,344,339,338,210,339
