altura,granos
190,37
204,42
199,41
196,38
184,35
189,35
194,37
186,37
200,42
185,36
201,42
202,40
194,38
189,38
175,36
187,38
199,38
195,40
201,39
203,40
191,36
183,36
184,38
195,38
195,38
203,42
201,41
185,36
178,35
181,37
188,39
191,37
179,37
185,39
188,39
201,38
202,40
191,38
180,37
190,37
184,38
182,38
203,42
203,38
179,34
181,34
184,36
187,36
196,41
202,42
180,35
198,38
200,42
192,40
200,40
181,34
176,33
195,38
186,39
183,34
200,38
182,36
195,41
203,41
193,39
180,35
196,37
199,38
196,38
194,38
196,38
177,33
177,36
204,39
185,37
191,37
193,38
203,40
179,36
189,38
200,39
183,35
179,36
186,38
203,41
204,39
192,40
205,41
184,38
179,37
187,35
185,35
177,34
198,37
187,36
177,37
193,37
204,40
179,36
200,39
199,40
195,40
178,34
202,42
184,37
182,34
193,36
193,40
204,40
176,34
179,37
188,39
196,41
179,34
205,42
197,37
189,38
179,35
186,36
200,40
185,35
201,42
185,38
184,34
184,36
196,38
205,41
203,39
193,40
182,36
187,39
200,42
201,38
179,33
186,36
199,41
195,37
182,36
200,42
204,39
176,37
201,40
178,35
193,39
194,36
194,37
198,38
189,35
189,37
185,35
197,37
181,36
191,39
187,38
181,36
198,40
190,40
192,36
201,41
178,37
195,38
205,43
186,36
195,40
181,38
201,42
185,38
179,33
201,39
199,41
190,37
205,43
187,35
179,36
198,37
189,35
201,39
202,40
198,41
194,37
185,36
176,33
205,39
177,34
183,36
200,40
200,38
192,38
203,40
191,39
195,41
200,42
184,37
176,36
198,40
203,39
178,35
178,36
181,38
192,38
179,36
178,33
198,40
183,37
177,36
190,40
190,37
182,37
188,38
202,38
186,38
181,36
193,40
185,39
201,41
189,39
196,38
187,38
175,36
200,40
180,38
195,37
204,38
186,37
177,36
203,41
203,38
194,37
185,36
202,38
177,36
201,42
181,37
191,37
198,39
195,40
198,39
192,39
197,39
205,40
201,41
182,35
198,41
188,36
184,34
183,37
177,35
195,39
191,36
193,39
176,33
202,41
188,36
186,35
197,37
192,37
200,42
202,42
175,37
195,39
179,33
189,37
203,40
178,34
184,38
194,38
180,36
188,37
181,35
196,37
177,34
200,38
194,38
186,37
183,34
202,42
182,36
191,37
189,39
191,37
193,39
182,37
189,37
199,39
204,40
180,37
200,40
176,34
196,38
178,34
180,34
175,37
177,36
180,38
187,37
184,36
190,36
194,36
178,36
198,41
203,41
202,42
184,36
190,38
181,37
203,38
199,37
179,36
205,41
189,36
175,34
176,36
175,34
205,43
177,33
199,39
201,40
198,37
197,39
200,42
177,36
185,38
180,36
189,35
193,37
193,38
189,37
203,42
190,37
201,42
186,36
189,37
202,41
198,38
204,41
178,34
184,36
185,36
187,39
188,38
188,38
177,33
191,40
180,36
178,34
177,35
181,36
184,34
179,34
177,36
194,37
182,38
203,41
191,39
178,34
193,37
188,37
194,38
203,40
201,40
184,38
196,37
195,37
205,42
204,42
177,35
194,38
176,36
175,36
202,39
185,39
202,40
189,37
194,39
181,38
201,39
186,38
184,34
179,34
201,38
204,38
176,34
195,41
180,34
184,35
205,43
196,40
199,41
194,36
184,38
179,35
197,41
186,38
192,37
184,38
194,38
204,40
180,37
186,36
186,37
200,38
196,40
181,34
193,39
202,40
185,38
195,39
186,39
195,39
178,36
203,41
194,40
179,35
175,37
190,38
182,37
183,36
191,36
184,34
199,38
185,39
187,35
182,38
180,38
177,33
186,35
177,33
177,33
193,37
177,36
188,35
183,35
185,37
183,37
187,36
186,38
196,41
177,33
177,35
204,42
196,39
180,35
185,39
203,39
204,39
177,36
177,36
192,40
198,37
181,35
198,37
185,39
188,36
192,38
188,38
195,37
181,35
176,35
185,36
204,42
181,35
186,36
205,40
199,37
187,37
204,40
200,42
185,39
188,39
200,40
201,41
193,39
199,40
179,35
181,35
177,33
175,37
175,36
196,38
195,38
205,42
198,37
175,33
176,37
203,41
194,37
194,37
189,39
200,39
185,38
190,39
175,35
202,40
199,37
188,39
202,42
198,41
176,35
198,40
177,33
175,36
203,39
178,33
175,36
201,40
189,37
202,40
189,36
199,38
175,35
180,38
190,40
205,43
204,41
182,35
191,40
199,37
179,35
181,34
195,38
190,36
203,38
189,36
182,36
205,43
193,37
198,41
195,41
189,36
200,40
178,35
204,42
193,37
201,39
200,38
179,36
195,40
194,39
201,38
175,34
203,41
184,36
191,38
203,39
188,35
196,37
179,37
175,33
179,33
182,36
183,37
199,37
191,36
200,39
196,40
185,39
193,37
196,39
179,33
201,41
205,41
204,41
201,41
192,36
198,38
