II,F,972
I,F,741
III,M,2226
II,F,1941
III,F,2368
II,F,1124
I,F,535
II,M,1527
III,M,2567
II,F,1831
II,F,1384
III,M,2065
I,F,568
II,M,1600
I,M,984
II,M,1364
II,M,1240
III,M,2038
II,F,1963
I,M,787
III,M,2927
II,M,1794
II,F,1087
II,M,1859
I,M,990
II,F,1895
III,M,2283
III,M,1891
I,F,983
II,M,1387
II,F,1479
II,M,1932
II,M,1111
II,M,1523
III,M,2418
II,F,1363
III,M,2017
I,F,920
I,F,719
I,M,857
III,M,2910
I,M,862
II,F,1206
III,M,2613
I,F,623
I,M,626
I,F,632
II,M,1310
III,F,1930
I,M,889
III,F,2028
I,M,548
II,M,1308
II,F,1784
II,M,1039
III,M,2358
II,M,1831
III,M,2839
I,F,737
I,M,505
II,F,1094
II,M,1271
III,M,2070
I,M,813
II,F,1253
II,M,1087
II,M,1479
III,M,2827
I,F,1001
II,F,1004
II,M,1658
I,F,828
II,M,1331
I,F,955
II,M,1567
III,F,2354
I,F,697
III,F,2333
II,F,1604
III,M,2393
I,M,1067
III,M,2447
III,F,2440
I,F,508
III,M,2434
III,M,2767
I,M,511
I,F,569
III,M,2805
II,F,1539
III,M,2113
I,M,689
II,M,1662
I,M,684
II,F,1344
II,M,1624
I,M,801
III,M,2343
I,M,825
II,F,1966
II,M,1575
I,F,713
I,M,1090
II,M,933
I,F,877
I,F,833
III,M,2544
I,M,753
II,M,1703
I,M,924
I,F,928
I,M,618
I,F,568
III,F,2327
II,F,1855
I,M,857
II,M,1799
II,M,972
II,F,1897
I,F,553
I,F,926
I,M,666
I,F,791
I,M,779
II,M,1053
I,M,701
II,F,1264
I,M,523
II,M,1751
I,M,680
I,M,653
III,M,2018
II,M,950
I,F,876
I,M,1076
I,F,539
II,M,974
I,F,1002
II,M,1307
II,F,1254
III,F,2465
III,M,2564
II,M,1984
I,M,944
III,F,2532
I,M,853
III,M,2712
II,M,1461
I,F,664
I,F,932
I,M,578
I,M,817
I,M,971
II,F,1439
II,F,1252
III,M,2259
II,F,1619
III,F,2589
III,F,2110
I,F,720
III,M,2526
II,F,1098
I,F,941
II,M,1871
I,F,811
II,F,1142
III,M,1937
II,M,1616
III,F,2753
III,M,2631
III,M,2676
II,F,994
II,M,923
I,F,856
I,M,674
III,M,2490
III,M,2444
II,M,1653
I,F,1089
I,F,658
I,F,900
III,M,2080
I,F,924
I,F,909
II,M,1940
I,M,624
III,F,1840
II,M,1995
II,F,1445
II,F,1446
I,F,595
I,F,1076
III,M,2738
II,F,1466
II,F,1075
III,F,1893
II,F,1655
II,M,1834
III,M,2573
II,F,1475
I,M,750
I,F,573
II,M,1883
II,M,1590
III,M,2493
III,F,1824
III,M,2509
II,F,1058
III,M,2570
II,F,1820
III,M,2191
II,M,1089
I,F,1063
I,F,723
II,F,1253
I,F,915
III,F,2192
II,F,1229
I,F,645
II,M,1600
I,M,923
III,F,2153
II,F,1730
II,M,1298
I,F,1009
I,F,810
III,M,2327
II,M,1958
III,M,2100
III,F,2309
I,M,904
I,M,724
I,F,946
II,M,933
II,M,1166
III,F,2103
I,F,970
I,M,573
I,M,858
II,M,926
II,F,1506
II,F,1298
II,M,968
I,F,1097
I,F,586
I,F,922
I,M,888
II,M,1776
I,F,640
II,M,1359
II,F,1649
I,F,919
II,F,1840
II,M,1670
I,F,639
II,M,1304
I,M,626
II,M,1532
III,F,2898
II,M,1678
I,F,563
I,F,531
II,F,1547
III,M,2960
III,F,2164
I,F,902
III,F,2633
I,F,719
II,M,1032
I,F,629
II,M,963
II,F,1484
III,F,2094
III,M,2756
II,M,1743
II,M,1631
III,F,2931
I,M,595
I,F,874
II,F,1985
II,F,927
III,M,2593
I,F,692
III,M,1934
II,F,1420
III,F,2777
II,M,931
III,M,2655
III,M,2669
I,F,626
II,M,1186
I,M,752
I,F,848
I,F,939
I,F,1081
II,F,951
III,F,2099
I,F,886
II,F,935
II,M,1655
II,F,1329
I,M,1026
II,F,1278
I,F,902
II,M,1171
III,M,2486
II,M,1468
III,M,2717
I,M,938
I,M,854
II,M,1148
I,F,698
I,F,1026
III,F,2641
II,M,955
I,F,1076
III,M,2416
I,F,556
III,M,2921
II,F,1940
I,M,504
III,F,2183
I,F,855
II,M,1082
III,M,2181
II,M,1619
I,M,564
III,M,1852
I,F,687
I,F,523
II,M,1973
I,F,772
II,F,1054
I,M,782
III,M,2094
I,M,957
II,F,1139
I,M,616
I,M,501
I,M,976
II,M,1325
I,M,568
I,M,537
III,M,2567
I,F,734
I,F,603
III,F,2873
II,M,1194
I,F,527
I,F,609
I,M,934
III,M,2659
II,F,1722
III,M,2516
III,M,2221
I,M,769
II,M,1010
III,F,2066
I,M,607
I,F,503
II,M,1246
I,F,638
II,F,1115
II,F,1090
I,F,553
I,F,791
II,M,1396
I,F,888
I,M,607
I,F,868
II,M,996
